task_name,dataset_id,error_rate_bin,cleaning_method,cluster_method,Silhouette Score,Davies-Bouldin Score,Combined Score,alpha,H_alpha
beers,0,5,bigdansing,KMEANSNF,0.222433760019455,1.27959535846191,0.505780218019322,0.25,0.4719838334709369
beers,0,5,bigdansing,GMM,0.188003227853651,1.26723064979167,0.501787395357332,0.25,0.4714096494860081
beers,0,5,bigdansing,HC,0.378337492537216,0.480698753285693,0.681778815600329,0.25,0.6787576374824654
beers,0,5,bigdansing,KMEANS,0.235205890937149,1.26940681211637,0.509218809821326,0.25,0.47464315652724626
beers,0,5,bigdansing,KMEANSPPS,0.289255359671698,1.19073731237964,0.529046276957435,0.25,0.4923988998832996
beers,0,5,bigdansing,DBSCAN,0.384151088318373,1.42601923800156,0.508929988421114,0.25,0.4585585358561352
beers,0,5,boostclean,KMEANSNF,0.250432026735503,1.30403202127854,0.506873931850202,0.25,0.46995002874283587
beers,0,5,boostclean,GMM,0.260399897698084,1.20153206964688,0.522846553124248,0.25,0.4883173623749829
beers,0,5,boostclean,HC,0.314904671225361,0.398958725140329,0.686658101227219,0.25,0.6995576537967138
beers,0,5,boostclean,KMEANS,0.252021197542067,1.24739492866176,0.514958164180525,0.25,0.47963920600768567
beers,0,5,boostclean,KMEANSPPS,0.212559284409222,1.33740765168534,0.496513018002388,0.25,0.46180701059599605
beers,0,5,boostclean,DBSCAN,0.376173438003148,1.29923275996577,0.525860006636112,0.25,0.47898435371816894
beers,0,5,horizon,KMEANSNF,0.235124423480595,1.19774983195066,0.51924737352724,0.25,0.48706124503293846
beers,0,5,horizon,GMM,0.239664009607545,1.10062849879922,0.534301321674576,0.25,0.5053551300025123
beers,0,5,horizon,HC,0.43226753189968,0.484835492474107,0.692873556182121,0.25,0.6836562487189431
beers,0,5,horizon,KMEANS,0.259022170285368,1.22084129368188,0.519843182810863,0.25,0.48478629946375174
beers,0,5,horizon,KMEANSPPS,0.228913262585059,1.27379536077069,0.507610349215162,0.25,0.47343776019523093
beers,0,5,horizon,DBSCAN,0.358316807290574,1.38949185625593,0.510604321630427,0.25,0.4629154862243701
beers,0,5,scared,KMEANSNF,0.248323126364401,1.30300942287438,0.506686961543375,0.25,0.4699702216805845
beers,0,5,scared,GMM,0.183198865400223,1.29439315910367,0.497392457478227,0.25,0.46655324118162844
beers,0,5,scared,HC,0.411284242015191,0.392574776245649,0.712187485829952,0.25,0.7149402303610852
beers,0,5,scared,KMEANS,0.226279676976161,1.19492710006718,0.518172962793502,0.25,0.48687088063310824
beers,0,5,scared,KMEANSPPS,0.199829348877577,1.36572319780326,0.490851017750575,0.25,0.4564087792128731
beers,0,5,scared,DBSCAN,0.439428462990331,1.25455800878222,0.541139387833264,0.25,0.4906100676467759
beers,0,5,baran,KMEANSNF,0.319165296572009,0.970053432260299,0.569249119277507,0.25,0.5386283715443024
beers,0,5,baran,GMM,0.332417331672991,0.968023297226536,0.57190668006134,0.25,0.5401681820285916
beers,0,5,baran,HC,0.547787882679321,0.368529866408761,0.750390658925009,0.25,0.7410486430702723
beers,0,5,baran,KMEANS,0.316931841389751,0.92006258515168,0.577562794426877,0.25,0.5495359058872711
beers,0,5,baran,KMEANSPPS,0.307354986002488,0.961357225303032,0.568657316329368,0.25,0.5395287013383709
beers,0,5,baran,DBSCAN,0.391736114939579,1.57256668935382,0.490466377834307,0.25,0.43693145166465186
beers,0,5,Unified,KMEANSNF,0.273384090126145,1.13608289622349,0.5346694637647,0.25,0.5013243290550475
beers,0,5,Unified,GMM,0.253308801191841,1.27360647238493,0.511502119834252,0.25,0.4752515526484901
beers,0,5,Unified,HC,0.451853956272796,0.369939703299895,0.728058456493445,0.25,0.7289469017974097
beers,0,5,Unified,KMEANS,0.279934736281745,1.11928762645205,0.538318916496773,0.25,0.5050222855884678
beers,0,5,Unified,KMEANSPPS,0.241722639273823,1.1965939563122,0.520505942787922,0.25,0.48777825740750586
beers,0,5,Unified,DBSCAN,0.0573299215731401,1.92969150106217,0.409539255684413,0.25,0.374509684477753
beers,0,5,GroundTruth,KMEANSNF,0.235589384032263,1.24298448250786,0.51293827466918,0.25,0.4791788312798006
beers,0,5,GroundTruth,GMM,0.228344770394508,1.33492775584785,0.499308664359346,0.25,0.4633388556734759
beers,0,5,GroundTruth,HC,0.391987321704019,0.489036157277513,0.68283498352429,0.25,0.6775178871744063
beers,0,5,GroundTruth,KMEANS,0.239848026626684,1.20440484916167,0.519078198732278,0.25,0.4862444204618998
beers,0,5,GroundTruth,KMEANSPPS,0.22635434410151,1.24172262007682,0.511610358727098,0.25,0.4786969175882015
beers,0,5,GroundTruth,DBSCAN,0.384665633696263,1.28219349697221,0.52954130762398,0.25,0.48245244955691785
beers,7,10,mode,KMEANSNF,0.351001570319151,0.97169304557062,0.57445598451749,0.25,0.5408722036623648
beers,7,10,mode,GMM,0.455580543384548,1.04048356806799,0.578956081859303,0.25,0.5336554536281124
beers,7,10,mode,HC,0.506829199041785,0.306508545317523,0.75971906390523,0.25,0.7623671074687824
beers,7,10,mode,KMEANS,0.464275207143793,0.854271484542874,0.615490777982312,0.25,0.577310715000331
beers,7,10,mode,KMEANSPPS,0.407950716550497,0.943207234476979,0.589088835477001,0.25,0.5517145517944362
beers,7,10,mode,DBSCAN,0.495859996184371,1.38020176336157,0.529126288379507,0.25,0.4718300469184556
beers,7,10,bigdansing,KMEANSNF,0.244331643351338,1.24369952349122,0.51424818051094,0.25,0.47970907841914884
beers,7,10,bigdansing,GMM,0.215159720144774,1.26005771038849,0.50725592880156,0.25,0.4747184362245544
beers,7,10,bigdansing,HC,0.49091937910671,0.307336380187287,0.755645577928686,0.25,0.7599559022799719
beers,7,10,bigdansing,KMEANS,0.254218099774235,1.19432748152635,0.522885525386268,0.25,0.4891409824513626
beers,7,10,bigdansing,KMEANSPPS,0.221777638608789,1.15694855448314,0.522861190068517,0.25,0.49335179204131446
beers,7,10,bigdansing,DBSCAN,0.130618795528932,1.80894501131469,0.431007734049757,0.25,0.39231925778266363
beers,7,10,boostclean,KMEANSNF,0.260326246346815,1.24413749561659,0.516734043961889,0.25,0.4808094992923558
beers,7,10,boostclean,GMM,0.241035488325264,1.38632115965738,0.494515276408079,0.25,0.4560732512457253
beers,7,10,boostclean,HC,0.394361458437567,0.372062884526882,0.713604204932388,0.25,0.720650997730381
beers,7,10,boostclean,KMEANS,0.247434707535488,1.27062645997921,0.510991823128378,0.25,0.4753320657053011
beers,7,10,boostclean,KMEANSPPS,0.198964086589542,1.35423280962188,0.49218568406302,0.25,0.4581478971133989
beers,7,10,boostclean,DBSCAN,0.374800607963243,1.4656757459396,0.502375316123101,0.25,0.45188632688382757
beers,7,10,holoclean,KMEANSNF,0.186644052970638,1.3924368279628,0.485403563916709,0.25,0.4513279040372346
beers,7,10,holoclean,GMM,0.246645396288928,1.2876677320247,0.50852091420702,0.25,0.47240512523123224
beers,7,10,holoclean,HC,0.42621776309718,0.523495335212757,0.681877808134413,0.25,0.6697030551879359
beers,7,10,holoclean,KMEANS,0.189572477786114,1.37623150245414,0.487899470628259,0.25,0.4540310169942558
beers,7,10,holoclean,KMEANSPPS,0.200320086806508,1.34780771527621,0.49322736372361,0.25,0.4592609494294298
beers,7,10,holoclean,DBSCAN,0.317669187954939,1.55243238550525,0.483987271295677,0.25,0.4359611819728346
beers,7,10,horizon,KMEANSNF,0.231519519586949,1.24229130990992,0.512374067231475,0.25,0.47899121092984753
beers,7,10,horizon,GMM,0.310513035560994,0.917174451275714,0.576907942850406,0.25,0.5496284813699835
beers,7,10,horizon,HC,0.452183705074715,0.303310728784407,0.74735303768822,0.25,0.7565486269523951
beers,7,10,horizon,KMEANS,0.291808073961824,1.18190187350826,0.530765766973966,0.25,0.494197917309073
beers,7,10,horizon,KMEANSPPS,0.26535554303316,1.10179833058872,0.538553039459604,0.25,0.5072293871251372
beers,7,10,horizon,DBSCAN,0.348700176829645,1.28733749976243,0.523764166582392,0.25,0.47933343279835106
beers,7,10,scared,KMEANSNF,0.304841274567555,1.12446260179877,0.541606388845442,0.25,0.5059358108247437
beers,7,10,scared,GMM,0.296036889854878,0.989226660793526,0.561930934445813,0.25,0.5325631806777794
beers,7,10,scared,HC,0.380928661875558,0.518361205332514,0.673204475936928,0.25,0.6662908393320245
beers,7,10,scared,KMEANS,0.290437831250051,1.06094963190385,0.549227767679024,0.25,0.517283043118058
beers,7,10,scared,KMEANSPPS,0.27915495647594,1.19663939922489,0.52657102978806,0.25,0.49058984734146976
beers,7,10,scared,DBSCAN,0.459544009242663,1.17050272244846,0.557288348792442,0.25,0.5074983416877251
beers,7,10,baran,KMEANSNF,0.296898402097854,1.03612335740698,0.554338604495263,0.25,0.5228408981242093
beers,7,10,baran,GMM,0.319320419925045,0.99533414191107,0.564966925267286,0.25,0.5331958119473472
beers,7,10,baran,HC,0.599310171665975,0.303197709324698,0.782198298389705,0.25,0.7751739250309676
beers,7,10,baran,KMEANS,0.330341673325281,0.955520983821841,0.573719673775395,0.25,0.5427455442419863
beers,7,10,baran,KMEANSPPS,0.314415086079949,0.955429195337378,0.570931218792755,0.25,0.5414275350261014
beers,7,10,baran,DBSCAN,0.340502433217892,1.51292068834802,0.491865146620096,0.25,0.44293158890857504
beers,7,10,Unified,KMEANSNF,0.25862589283442,1.1905341077986,0.524155907202307,0.25,0.4901578238858858
beers,7,10,Unified,GMM,0.298487551264424,1.07385473469316,0.54852764987095,0.25,0.5153432031942935
beers,7,10,Unified,HC,0.467747400915983,0.494241037292124,0.698136361435998,0.25,0.6843039859770625
beers,7,10,Unified,KMEANS,0.259171160258031,1.16825430039219,0.527510296308788,0.25,0.494247617701719
beers,7,10,Unified,KMEANSPPS,0.252811961986955,1.22224285880236,0.518645073646504,0.25,0.4840776370497359
beers,7,10,Unified,DBSCAN,0.420292170687772,1.42572980364983,0.513486082530741,0.25,0.46054561126512233
beers,7,10,GroundTruth,KMEANSNF,0.235589384032263,1.24298448250786,0.51293827466918,0.25,0.4791788312798006
beers,7,10,GroundTruth,GMM,0.196428684034827,1.26706232824208,0.503216914311958,0.25,0.4720973573447842
beers,7,10,GroundTruth,HC,0.391987321704019,0.489036157277513,0.68283498352429,0.25,0.6775178871744063
beers,7,10,GroundTruth,KMEANS,0.239848026626684,1.20440484916167,0.519078198732278,0.25,0.4862444204618998
