alpha,task_name,cleaning_method,cluster_method,median_H,mean_H,n_rows
0.25,flights,holoclean,DBSCAN,0.4743391086509534,0.475345978975436,14
0.25,flights,holoclean,GMM,0.601502624596735,0.5932260691152129,14
0.25,flights,holoclean,HC,0.6406037353176208,0.6419933060360367,14
0.25,flights,holoclean,KMEANS,0.5950871050453881,0.5950871050453881,14
0.25,flights,holoclean,KMEANSNF,0.5595908126584213,0.5580109661444494,14
0.25,flights,holoclean,KMEANSPPS,0.5700342761637787,0.5683011614275,14
0.25,flights,horizon,DBSCAN,0.5706620759957193,0.5935116712004025,15
0.25,flights,horizon,GMM,0.6019755374219943,0.6056882051048731,15
0.25,flights,horizon,HC,0.7465741679417662,0.7163075569939225,15
0.25,flights,horizon,KMEANS,0.6216187062572764,0.6159545578497952,15
0.25,flights,horizon,KMEANSNF,0.5709110415609019,0.5834244412222367,15
0.25,flights,horizon,KMEANSPPS,0.5830123064091995,0.5915029183507197,15
0.25,flights,mode,DBSCAN,0.5495805927831989,0.5356531623516978,15
0.25,flights,mode,GMM,0.675236855977407,0.6588290053977607,15
0.25,flights,mode,HC,0.7651970210691017,0.760132474813574,15
0.25,flights,mode,KMEANS,0.6839281878701545,0.6603991054420196,15
0.25,flights,mode,KMEANSNF,0.6045896039266622,0.5881638853370255,15
0.25,flights,mode,KMEANSPPS,0.6089209251076266,0.60084634770134,15
0.25,flights,scared,DBSCAN,0.44039135738532664,0.44246392299932275,14
0.25,flights,scared,GMM,0.5109245583707509,0.5149409691503393,15
0.25,flights,scared,HC,0.6126122688731478,0.6099987723644805,15
0.25,flights,scared,KMEANS,0.5211787563137841,0.5236026271767,15
0.25,flights,scared,KMEANSNF,0.5033354622307157,0.5106970887870734,15
0.25,flights,scared,KMEANSPPS,0.5090096789277979,0.5096970177251369,15
0.25,hospital,GroundTruth,DBSCAN,0.41277610731439857,0.4122113002814081,15
0.25,hospital,GroundTruth,GMM,0.5381696842153103,0.5360919000919552,15
0.25,hospital,GroundTruth,HC,0.778035988314303,0.7714217271115984,15
0.25,hospital,GroundTruth,KMEANS,0.5346091679719331,0.5344257426704487,15
0.25,hospital,GroundTruth,KMEANSNF,0.5268037844889416,0.525628592566272,15
0.25,hospital,GroundTruth,KMEANSPPS,0.5293822014167868,0.5303203214201643,15
0.25,hospital,Unified,DBSCAN,0.33180968178650205,0.3412386452005361,7
0.25,hospital,Unified,GMM,0.41509666209605656,0.42917747875868717,15
0.25,hospital,Unified,HC,0.6117180640892484,0.6292936530762996,15
0.25,hospital,Unified,KMEANS,0.39612800578717156,0.42019915580862344,15
0.25,hospital,Unified,KMEANSNF,0.4140564700123485,0.4174822088563458,15
0.25,hospital,Unified,KMEANSPPS,0.38557979341526194,0.40002147593027915,15
0.25,hospital,baran,DBSCAN,0.37718447912078756,0.3801910086654635,15
0.25,hospital,baran,GMM,0.5192575685026841,0.5209205990622426,15
0.25,hospital,baran,HC,0.7502259846186446,0.7423337093321851,15
0.25,hospital,baran,KMEANS,0.519701953916649,0.5072091712662404,15
0.25,hospital,baran,KMEANSNF,0.49542974244060006,0.49132211887723937,15
0.25,hospital,baran,KMEANSPPS,0.493428353567435,0.48678953656198554,15
0.25,hospital,bigdansing,DBSCAN,0.3437791446613438,0.3394202724115872,13
0.25,hospital,bigdansing,GMM,0.43884815493784407,0.42664396537171545,15
0.25,hospital,bigdansing,HC,0.6684245318590566,0.6810095713625606,15
0.25,hospital,bigdansing,KMEANS,0.4222522749333778,0.42373461950754804,15
0.25,hospital,bigdansing,KMEANSNF,0.4345970976969866,0.42867801870391287,15
0.25,hospital,bigdansing,KMEANSPPS,0.42871529604015574,0.41255540093121296,15
0.25,hospital,boostclean,DBSCAN,0.3230296407711286,0.3303061213750491,9
0.25,hospital,boostclean,GMM,0.4112891685849858,0.42420191086519987,14
0.25,hospital,boostclean,HC,0.6089726059894008,0.6253810540247075,14
0.25,hospital,boostclean,KMEANS,0.3944058024170993,0.417121082097335,14
0.25,hospital,boostclean,KMEANSNF,0.4007182102897099,0.41404858595149563,14
0.25,hospital,boostclean,KMEANSPPS,0.387631663162612,0.40191507503219803,14
0.25,hospital,holoclean,DBSCAN,0.3477839115469372,0.3442361280049375,9
0.25,hospital,holoclean,GMM,0.4210376214266086,0.4309575984534247,9
0.25,hospital,holoclean,HC,0.6603462212843328,0.6771483332070894,9
0.25,hospital,holoclean,KMEANS,0.41453965737310744,0.42953691916231224,9
0.25,hospital,holoclean,KMEANSNF,0.42686959020443144,0.42952911575567715,9
0.25,hospital,holoclean,KMEANSPPS,0.4022847316722537,0.41605715558374984,9
0.25,hospital,horizon,DBSCAN,0.3525198644060277,0.3502495065369143,15
0.25,hospital,horizon,GMM,0.47393359800171075,0.4827977590009701,15
0.25,hospital,horizon,HC,0.6632142313715191,0.6734023133055071,15
0.25,hospital,horizon,KMEANS,0.4727122523418145,0.4806349424373356,15
0.25,hospital,horizon,KMEANSNF,0.47100961230505367,0.4745022720627142,15
0.25,hospital,horizon,KMEANSPPS,0.4507914602726264,0.45638685749357183,15
0.25,hospital,mode,DBSCAN,0.35094756001944305,0.34468911043231976,15
0.25,hospital,mode,GMM,0.4048352121040801,0.40553828527427543,15
0.25,hospital,mode,HC,0.6553198759453788,0.6623850382217957,15
0.25,hospital,mode,KMEANS,0.40622940298925203,0.39862129819966097,15
0.25,hospital,mode,KMEANSNF,0.410615861910928,0.4136778148808459,15
0.25,hospital,mode,KMEANSPPS,0.37462878529497773,0.3815849655167473,15
0.25,hospital,scared,DBSCAN,0.30834888056440407,0.31967556027397787,7
0.25,hospital,scared,GMM,0.4090450874132428,0.43395161832553497,15
0.25,hospital,scared,HC,0.6194952705959026,0.6312265586482755,15
0.25,hospital,scared,KMEANS,0.4014109715021149,0.41939601212160627,14
0.25,hospital,scared,KMEANSNF,0.41267318475028947,0.4098100874212038,14
0.25,hospital,scared,KMEANSPPS,0.3936320384975467,0.41724932043208324,14
0.25,rayyan,GroundTruth,DBSCAN,0.4608174461908848,0.44811955031885325,15
0.25,rayyan,GroundTruth,GMM,0.7240702395908305,0.722102446735248,15
0.25,rayyan,GroundTruth,HC,0.8088946321906889,0.8088946321906889,15
0.25,rayyan,GroundTruth,KMEANS,0.7254522361946684,0.7251075870088802,15
0.25,rayyan,GroundTruth,KMEANSNF,0.6797968073917426,0.6797968073917426,15
0.25,rayyan,GroundTruth,KMEANSPPS,0.6910674227695793,0.6874833478309721,15
0.25,rayyan,Unified,DBSCAN,0.42420599673428544,0.4169619608625259,15
0.25,rayyan,Unified,GMM,0.6923660782058066,0.6888179595794935,15
0.25,rayyan,Unified,HC,0.8079497231007696,0.8024734954238733,15
0.25,rayyan,Unified,KMEANS,0.6902415361138426,0.6859995960482766,15
0.25,rayyan,Unified,KMEANSNF,0.6216278793723219,0.6217169349005479,15
0.25,rayyan,Unified,KMEANSPPS,0.6252990736745435,0.6441402922592959,15
0.25,rayyan,baran,DBSCAN,0.39072712522092334,0.40054231227652415,15
0.25,rayyan,baran,GMM,0.7108505494018215,0.707910574335303,15
0.25,rayyan,baran,HC,0.7621301542529805,0.7713499233633279,15
0.25,rayyan,baran,KMEANS,0.7108505494018215,0.7089364397700408,15
0.25,rayyan,baran,KMEANSNF,0.6195259103651263,0.6360740999410897,15
0.25,rayyan,baran,KMEANSPPS,0.6795432857687046,0.6795769267216153,15
0.25,rayyan,bigdansing,DBSCAN,0.4215603419682911,0.41888081449234993,15
0.25,rayyan,bigdansing,GMM,0.7504348807500579,0.760405596273512,15
0.25,rayyan,bigdansing,HC,0.8273278893326238,0.8114645832025092,15
0.25,rayyan,bigdansing,KMEANS,0.7501429885249723,0.7534308316619392,15
0.25,rayyan,bigdansing,KMEANSNF,0.7042452575440902,0.6954814930520908,15
0.25,rayyan,bigdansing,KMEANSPPS,0.7223180140661696,0.7032648255190718,15
0.25,rayyan,holoclean,DBSCAN,0.4710201965520315,0.4679525191979449,15
0.25,rayyan,holoclean,GMM,0.6319657346029873,0.6406096039768644,15
0.25,rayyan,holoclean,HC,0.8106360150572857,0.8185641406466927,15
0.25,rayyan,holoclean,KMEANS,0.6190304288338818,0.6239799040529516,15
0.25,rayyan,holoclean,KMEANSNF,0.5772278429557581,0.5750745335047149,15
0.25,rayyan,holoclean,KMEANSPPS,0.573081062912456,0.5700829616401412,15
0.25,rayyan,horizon,DBSCAN,0.4179438938576605,0.4188800468627618,14
0.25,rayyan,horizon,GMM,0.7298138478839978,0.731769662237317,15
0.25,rayyan,horizon,HC,0.8466166448337161,0.8210600156036049,15
0.25,rayyan,horizon,KMEANS,0.7309027576553455,0.7319054269863315,15
0.25,rayyan,horizon,KMEANSNF,0.6602465208920778,0.6597046993950421,15
0.25,rayyan,horizon,KMEANSPPS,0.6814099153192856,0.6700473867743973,15
0.25,rayyan,mode,DBSCAN,0.4746284630374966,0.47752392735389776,15
0.25,rayyan,mode,GMM,0.5778116969027041,0.5928263523718909,15
0.25,rayyan,mode,HC,0.7799726369501507,0.7866451741654663,15
0.25,rayyan,mode,KMEANS,0.5742980093352605,0.5961388294237621,15
0.25,rayyan,mode,KMEANSNF,0.5459237480480003,0.5657840503249996,15
0.25,rayyan,mode,KMEANSPPS,0.5634384080114061,0.5749226256469431,15
0.25,rayyan,scared,DBSCAN,0.42417236084015575,0.42379316985185506,14
0.25,rayyan,scared,GMM,0.6962762413795488,0.6952983996879415,15
0.25,rayyan,scared,HC,0.8083488426316577,0.8051749585654322,15
0.25,rayyan,scared,KMEANS,0.6973377127231205,0.6994168088687791,15
0.25,rayyan,scared,KMEANSNF,0.6388791997265508,0.6339825028928504,15
0.25,rayyan,scared,KMEANSPPS,0.664155999301489,0.6618657226984046,15
0.47,beers,GroundTruth,DBSCAN,0.5295413076239792,0.5295413076239792,15
0.47,beers,GroundTruth,GMM,0.50700032376417,0.5075454246318798,15
0.47,beers,GroundTruth,HC,0.6828349835242901,0.6815374680348408,15
0.47,beers,GroundTruth,KMEANS,0.5190781987322781,0.5187448853925388,15
0.47,beers,GroundTruth,KMEANSNF,0.5129382746691793,0.5124960774279324,15
0.47,beers,GroundTruth,KMEANSPPS,0.509080078951845,0.5075848876217536,15
0.47,beers,Unified,DBSCAN,0.4919252408581324,0.46925579005652934,15
0.47,beers,Unified,GMM,0.5505874880529796,0.5517986062892279,15
0.47,beers,Unified,HC,0.7280584564934446,0.7492810198558314,15
0.47,beers,Unified,KMEANS,0.5520892940257424,0.55258749601234,15
0.47,beers,Unified,KMEANSNF,0.5393362722241339,0.5407302433594184,15
0.47,beers,Unified,KMEANSPPS,0.5368490909911866,0.5360879850164028,15
0.47,beers,baran,DBSCAN,0.4918651466200956,0.493822481021165,15
0.47,beers,baran,GMM,0.5649669252672863,0.5665163114835869,15
0.47,beers,baran,HC,0.7503906589250093,0.7684585844546693,15
