dataset,variant,seed,requested_error_rate,realized_error_rate,changed_cell_count,cleaning_state,clusterer,dirty_H_alpha,H_alpha,delta_H_vs_dirty,direction,valid_cluster_score,silhouette,davies_bouldin,n_rows_used,n_clusters,dirty_path,repaired_path,TP,FP,FN,EDR,precision,recall,F1
beers,original,42,0.3,0.3,5784,mode_impute,HC,0.5690999018503599,0.5564650886641644,-0.012634813186195415,negative,True,0.3344533781874579,1.0616031245539692,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err30_mode_impute.csv,277,749,5507,-0.08160442600276625,0.2699805068226121,0.047890733056708164,0.08135095447870778
beers,original,42,0.3,0.3,5784,winsor_mode,KMEANS,0.5270778688422534,0.4541857391350971,-0.0728921297071563,negative,True,0.2306380221832588,1.7130395692796394,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err30_winsor_mode.csv,277,774,5507,-0.08592669432918396,0.263558515699334,0.047890733056708164,0.08105340160936358
beers,original,42,0.3,0.3,5784,winsor_mode,HC,0.5690999018503599,0.4893032014519353,-0.07979670039842457,negative,True,0.26114318779533835,1.449749219558067,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err30_winsor_mode.csv,277,774,5507,-0.08592669432918396,0.263558515699334,0.047890733056708164,0.08105340160936358
beers,original,43,0.1,0.1,1928,dirty,KMEANS,0.5377610419353701,0.5377610419353701,0.0,zero,True,0.2670933040928282,1.108880396856997,2164,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10_dirty.csv,0,0,1928,0.0,,0.0,
beers,original,43,0.1,0.1,1928,dirty,HC,0.5111655647222395,0.5111655647222395,0.0,zero,True,0.243334707667751,1.2646829778395363,2164,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10_dirty.csv,0,0,1928,0.0,,0.0,
beers,original,43,0.1,0.1,1928,mode_impute,KMEANS,0.5377610419353701,0.5783129753472576,0.04055193341188745,positive,True,0.3553881023358931,0.9540362295297801,2233,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10_mode_impute.csv,90,968,1838,-0.4553941908713693,0.08506616257088846,0.046680497925311204,0.06028131279303416
beers,original,43,0.1,0.1,1928,mode_impute,HC,0.5111655647222395,0.5696982326357984,0.05853266791355893,positive,True,0.3121151416413007,0.9602164426583057,2233,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10_mode_impute.csv,90,968,1838,-0.4553941908713693,0.08506616257088846,0.046680497925311204,0.06028131279303416
beers,original,43,0.1,0.1,1928,winsor_mode,KMEANS,0.5377610419353701,0.47973821614726464,-0.05802282578810547,negative,True,0.21739082482355973,1.4760886918794853,2233,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10_winsor_mode.csv,186,1232,1742,-0.5425311203319502,0.1311706629055007,0.09647302904564316,0.11117752540346681
beers,original,43,0.1,0.1,1928,winsor_mode,HC,0.5111655647222395,0.5088181574260215,-0.0023474072962179626,negative,True,0.27529831925799136,1.3174645773791567,2233,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err10_winsor_mode.csv,186,1232,1742,-0.5425311203319502,0.1311706629055007,0.09647302904564316,0.11117752540346681
beers,original,43,0.2,0.2,3856,dirty,KMEANS,0.5466162802367338,0.5466162802367338,0.0,zero,True,0.2833230315078068,1.069742453032965,2011,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed43_err20_dirty.csv,0,0,3856,0.0,,0.0,
